upc;title;category;price;rating;num_reviews;in_stock;num_available;url
a897fe39b1053632;A Light in the Attic;Poetry;51.77;Three;0;In stock;22;https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
90fa61229261140a;Tipping the Velvet;Historical Fiction;53.74;One;0;In stock;20;https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
6957f44c3847a760;Soumission;Fiction;50.10;One;0;In stock;20;https://books.toscrape.com/catalogue/soumission_998/index.html
e00eb4fd7b871a48;Sharp Objects;Mystery;47.82;Four;0;In stock;20;https://books.toscrape.com/catalogue/sharp-objects_997/index.html
4165285e1663650f;Sapiens: A Brief History of Humankind;History;54.23;Five;0;In stock;20;https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
f77dbf2323deb740;The Requiem Red;Young Adult;22.65;One;0;In stock;19;https://books.toscrape.com/catalogue/the-requiem-red_995/index.html
2597b5a345f45e1b;The Dirty Little Secrets of Getting Your Dream Job;Business;33.34;Four;0;In stock;19;https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
e72a5dfc7e9267b2;The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull;Default;17.93;Three;0;In stock;19;https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
e10e1e165dc8be4a;The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics;Default;22.60;Four;0;In stock;19;https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
1dfe412b8ac00530;The Black Maria;Poetry;52.15;One;0;In stock;19;https://books.toscrape.com/catalogue/the-black-maria_991/index.html
0312262ecafa5a40;Starving Hearts (Triangular Trade Trilogy, #1);Default;13.99;Two;0;In stock;19;https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
30a7f60cd76ca58c;Shakespeare's Sonnets;Poetry;20.66;Four;0;In stock;19;https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
ce6396b0f23f6ecc;Set Me Free;Young Adult;17.46;Five;0;In stock;19;https://books.toscrape.com/catalogue/set-me-free_988/index.html
3b1c02bac2a429e6;Scott Pilgrim's Precious Little Life (Scott Pilgrim #1);Sequential Art;52.29;Five;0;In stock;19;https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
a34ba96d4081e6a4;Rip it Up and Start Again;Music;35.02;Five;0;In stock;19;https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
deda3e61b9514b83;Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991;Music;57.25;Three;0;In stock;19;https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
feb7cc7701ecf901;Olio;Poetry;23.88;One;0;In stock;19;https://books.toscrape.com/catalogue/olio_984/index.html
e30f54cea9b38190;Mesaerion: The Best Science Fiction Stories 1800-1849;Science Fiction;37.59;One;0;In stock;19;https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
a18a4f574854aced;Libertarianism for Beginners;Politics;51.33;Two;0;In stock;19;https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
a22124811bfa8350;It's Only the Himalayas;Travel;45.17;Two;0;In stock;19;https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
23356462d1320d61;In Her Wake;Thriller;12.84;One;0;In stock;19;https://books.toscrape.com/catalogue/in-her-wake_980/index.html
327f68a59745c102;How Music Works;Music;37.32;Two;0;In stock;19;https://books.toscrape.com/catalogue/how-music-works_979/index.html
5674a18a29a43ced;Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More;Food and Drink;30.52;Three;0;In stock;19;https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
c2e46a2ee3b4a322;Chase Me (Paris Nights #2);Romance;25.27;Five;0;In stock;19;https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
00bfed9e18bb36f3;Black Dust;Romance;34.53;Five;0;In stock;19;https://books.toscrape.com/catalogue/black-dust_976/index.html
9528d0948525bf5f;Birdsong: A Story in Pictures;Childrens;54.64;Three;0;In stock;19;https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
c7d160c2c0de586f;America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana;Default;22.50;Three;0;In stock;19;https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
904208d6aa64b655;Aladdin and His Wonderful Lamp;Default;53.13;Three;0;In stock;19;https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html
4c28def39d850cdf;Worlds Elsewhere: Journeys Around Shakespeare’s Globe;Nonfiction;40.30;Five;0;In stock;18;https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
ccd9ffa25efabdea;Wall and Piece;Art;44.18;Four;0;In stock;18;https://books.toscrape.com/catalogue/wall-and-piece_971/index.html
6258a1f6a6dcfe50;The Four Agreements: A Practical Guide to Personal Freedom;Spirituality;17.66;Five;0;In stock;18;https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
3c039985229453bf;The Five Love Languages: How to Express Heartfelt Commitment to Your Mate;Nonfiction;31.05;Three;0;In stock;18;https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
5dada2b7be26bd03;The Elephant Tree;Thriller;23.82;Five;0;In stock;18;https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
9f6568e9c95f60b0;The Bear and the Piano;Childrens;36.89;One;0;In stock;18;https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
6be3beb0793a53e7;Sophie's World;Philosophy;15.94;Five;0;In stock;18;https://books.toscrape.com/catalogue/sophies-world_966/index.html
668fe56b17cfcd4f;Penny Maybe;Default;33.29;Three;0;In stock;18;https://books.toscrape.com/catalogue/penny-maybe_965/index.html
